"id","exp_grou","STAI_T_demean","IU_demean","stimulus","trial","fps","phase"
1,2,0.921900000000001,17.3281,1,1,0.639421336,"ACQ"
1,2,0.921900000000001,17.3281,1,2,-0.611305321,"ACQ"
1,2,0.921900000000001,17.3281,1,3,-0.504329859,"ACQ"
1,2,0.921900000000001,17.3281,1,4,-0.706186787,"ACQ"
1,2,0.921900000000001,17.3281,1,5,-0.325887006,"ACQ"
1,2,0.921900000000001,17.3281,1,6,-0.350387963,"ACQ"
1,2,0.921900000000001,17.3281,2,1,1.462859943,"ACQ"
1,2,0.921900000000001,17.3281,2,2,2.332827078,"ACQ"
1,2,0.921900000000001,17.3281,2,3,0.231358737,"ACQ"
1,2,0.921900000000001,17.3281,2,4,-0.674625944,"ACQ"
1,2,0.921900000000001,17.3281,2,5,-0.626249959,"ACQ"
1,2,0.921900000000001,17.3281,2,6,-0.867494254,"ACQ"
2,1,-12.0781,-31.6719,1,1,1.229344682,"ACQ"
2,1,-12.0781,-31.6719,1,2,NA,"ACQ"
2,1,-12.0781,-31.6719,1,3,NA,"ACQ"
2,1,-12.0781,-31.6719,1,4,0.096043662,"ACQ"
2,1,-12.0781,-31.6719,1,5,-0.795763154,"ACQ"
2,1,-12.0781,-31.6719,1,6,0.77860124,"ACQ"
2,1,-12.0781,-31.6719,2,1,0.44905037,"ACQ"
2,1,-12.0781,-31.6719,2,2,1.169262473,"ACQ"
2,1,-12.0781,-31.6719,2,3,0.644640375,"ACQ"
2,1,-12.0781,-31.6719,2,4,-1.147610134,"ACQ"
2,1,-12.0781,-31.6719,2,5,-1.181846561,"ACQ"
2,1,-12.0781,-31.6719,2,6,-1.241722951,"ACQ"
3,2,-1.0781,-24.6719,1,1,-1.043991899,"ACQ"
3,2,-1.0781,-24.6719,1,2,0.147542635,"ACQ"
3,2,-1.0781,-24.6719,1,3,0.136953017,"ACQ"
3,2,-1.0781,-24.6719,1,4,2.378977079,"ACQ"
