"id","exp_grou","STAI_T_demean","IU_demean","stimulus","time","rat","phase"
1,2,0.921900000000001,17.3281,1,1,1,"ACQ"
1,2,0.921900000000001,17.3281,1,2,NA,"ACQ"
1,2,0.921900000000001,17.3281,1,3,9,"ACQ"
1,2,0.921900000000001,17.3281,1,4,32,"ACQ"
1,2,0.921900000000001,17.3281,2,1,0,"ACQ"
1,2,0.921900000000001,17.3281,2,2,0,"ACQ"
1,2,0.921900000000001,17.3281,2,3,1,"ACQ"
1,2,0.921900000000001,17.3281,2,4,8,"ACQ"
2,1,-12.0781,-31.6719,1,1,25,"ACQ"
2,1,-12.0781,-31.6719,1,2,14,"ACQ"
2,1,-12.0781,-31.6719,1,3,48,"ACQ"
2,1,-12.0781,-31.6719,1,4,49,"ACQ"
2,1,-12.0781,-31.6719,2,1,22,"ACQ"
2,1,-12.0781,-31.6719,2,2,23,"ACQ"
2,1,-12.0781,-31.6719,2,3,6,"ACQ"
2,1,-12.0781,-31.6719,2,4,0,"ACQ"
3,2,-1.0781,-24.6719,1,1,0,"ACQ"
3,2,-1.0781,-24.6719,1,2,4,"ACQ"
3,2,-1.0781,-24.6719,1,3,13,"ACQ"
3,2,-1.0781,-24.6719,1,4,26,"ACQ"
3,2,-1.0781,-24.6719,2,1,NA,"ACQ"
3,2,-1.0781,-24.6719,2,2,6,"ACQ"
3,2,-1.0781,-24.6719,2,3,7,"ACQ"
3,2,-1.0781,-24.6719,2,4,18,"ACQ"
4,1,5.9219,-9.67189999999999,1,1,0,"ACQ"
4,1,5.9219,-9.67189999999999,1,2,4,"ACQ"
4,1,5.9219,-9.67189999999999,1,3,0,"ACQ"
4,1,5.9219,-9.67189999999999,1,4,0,"ACQ"
4,1,5.9219,-9.67189999999999,2,1,61,"ACQ"
4,1,5.9219,-9.67189999999999,2,2,50,"ACQ"
4,1,5.9219,-9.67189999999999,2,3,40,"ACQ"
4,1,5.9219,-9.67189999999999,2,4,37,"ACQ"
5,2,-2.0781,-19.6719,1,1,0,"ACQ"
5,2,-2.0781,-19.6719,1,2,0,"ACQ"
5,2,-2.0781,-19.6719,1,3,12,"ACQ"
5,2,-2.0781,-19.6719,1,4,31,"ACQ"
5,2,-2.0781,-19.6719,2,1,0,"ACQ"
5,2,-2.0781,-19.6719,2,2,0,"ACQ"
5,2,-2.0781,-19.6719,2,3,0,"ACQ"
5,2,-2.0781,-19.6719,2,4,0,"ACQ"
6,1,1.9219,4.32810000000001,1,1,NA,"ACQ"
6,1,1.9219,4.32810000000001,1,2,NA,"ACQ"
6,1,1.9219,4.32810000000001,1,3,41,"ACQ"
6,1,1.9219,4.32810000000001,1,4,20,"ACQ"
6,1,1.9219,4.32810000000001,2,1,69,"ACQ"
6,1,1.9219,4.32810000000001,2,2,90,"ACQ"
6,1,1.9219,4.32810000000001,2,3,58,"ACQ"
6,1,1.9219,4.32810000000001,2,4,62,"ACQ"
7,2,-6.0781,2.32810000000001,1,1,0,"ACQ"
7,2,-6.0781,2.32810000000001,1,2,48,"ACQ"
7,2,-6.0781,2.32810000000001,1,3,50,"ACQ"
7,2,-6.0781,2.32810000000001,1,4,69,"ACQ"
7,2,-6.0781,2.32810000000001,2,1,0,"ACQ"
